Country,Genre,Radio ID,Radio logo,Radio Name,Stream URL
ES,Jazz,14748,mallorca-sunshine-radio.jpg,Mallorca Sunshine Radio,https://stream.inselradio.com/high.sunshine.opus
ES,Music,15460,mallorca-sunshine-radio-96-9-fm.jpg,Mallorca Sunshine Radio 96.9 FM,https://stream.inselradio.com/high.sunshine.mp3
DK,Metal,13627,metallica-and-iron-maiden.jpg,Metallica and Iron Maiden,http://185.7.192.79:8000/stream?type=.mp3/;stream.mp3
US,Rock,3923,metallica-fan-loop-radio.jpg,Metallica Fan Loop Radio,http://www.englandproxy.co.uk/streaming.radionomy.com/MetallicaFanLoopRadio?type=.mp3/;stream.mp3
DE,House,12608,minimal-calling.jpg,Minimal Calling,http://stream.laut.fm/minimalcalling?type=.mp3/;stream.mp3
HU,Folk,19025,mr7-dalok-es-dallamok.jpg,MR7 Dalok Es Dallamok,http://mr-stream.mediaconnect.hu/4748/mr7.mp3
CH,Hits,10341,my105-all-the-hits.jpg,My105 All The Hits,http://stream01.my105.ch/my105allthehits-aac.mp3
IE,Dancehall,1710,nlr-roots-radio.jpg,NLR Roots Radio,http://s4.myradiostream.com:4062/;stream.mp3
DE,Dancehall,12691,noise-on-fm.jpg,Noise On FM,http://www.englandproxy.co.uk/streaming.radionomy.com/Noise-ONFM?type=.mp3/;stream.mp3
NO,Classic,23140,nrk-alltid-klassisk.jpg,NRK Alltid Klassisk,http://lyd.nrk.no/nrk_radio_klassisk_mp3_m
NO,Music,23141,nrk-alltid-nyheter.jpg,NRK Alltid Nyheter,http://lyd.nrk.no/nrk_radio_alltid_nyheter_mp3_m
CO,Mix,11287,olimpica-stereo-valledupar.jpg,Olimpica Stereo Valledupar,http://i90.letio.com/9118.aac
PH,Rock,23765,open-fm-rock-ballady.jpg,Open FM Rock Ballady,http://stream.open.fm/61?type=.mp3/;stream.mp3
SE,Music,25912,p4-halland.jpg,P4 Halland,http://http-live.sr.se/p4halland-mp3-128?type=.mp3/;stream.mp3
NO,Music,23171,p4-radio-ballade.jpg,P4 Radio Ballade,http://stream.p4.no/p4_mp3_mq
US,AC,4122,pan-african-allstars-radio.jpg,Pan African Allstars Radio,http://tess.fast-serv.com:8580/;stream.mp3
UK,Dance,982,party-vibe-radio-reggae-roots-dancehall-dub.jpg,Party Vibe Radio Reggae Roots Dancehall Dub,http://94.130.238.52:8000/;
DE,Dancehall,12738,peaceboy-music.jpg,PeaceBoy Music,http://andromeda.shoutca.st:8149/stream?type=.mp3/;stream.mp3
AU,Community,7250,plenty-valley-fm.jpg,Plenty Valley FM,http://streamer2.rightclickitservices.com:8008/;stream.mp3?type=.mp3/;stream.mp3
UK,Local,1025,positively-cornwall.jpg,Positively Cornwall,http://edge01.media.positivityradio.world:8081/positively/happy/icecast.audio
US,Hits,4244,q103-all-the-hits.jpg,Q103 All The Hits,http://playerservices.streamtheworld.com/api/livestream-redirect/WJADFMAAC.aac
UK,Ballade,1074,qmr-easy.jpg,QMR Easy,http://78.129.146.97:7027/stream
UA,Music,27279,radio-alla.jpg,Radio Alla,http://air-online2.radioalla.md/radioalla.mp3
CL,Jazz,10812,radio-allegro.jpg,Radio Allegro,http://sscl.denialstream.com:8008/;stream.mp3
FR,Hits,16773,radio-alliance-plus.jpg,Radio Alliance Plus,http://stream.franclr.fr:8000/allianceplus?type=.mp3/;stream.mp3
FR,Blues,16774,radio-alligator.jpg,Radio Alligator,http://www.englandproxy.co.uk/listen.radionomy.com/radioalligator?type=.mp3/;stream.mp3
CL,Hip Hop,10815,radio-america-ovalle.jpg,Radio America Ovalle,http://radio.radioamerica.org:8000/ra.mp3?type=.mp3/;stream.mp3
FR,Music,16798,radio-ballade.jpg,Radio Ballade,http://stream.franclr.fr:8000/radioballade?type=.mp3/;stream.mp3
HT,Tropical,18797,radio-ballade-fm-102-3.jpg,Radio Ballade FM 102.3,http://192.99.13.189:9920
DK,60s,13662,radio-ballerup.jpg,Radio Ballerup,http://78.47.115.218:8010/;stream.mp3
IE,House,1725,radio-ballo-bello.jpg,Radio Ballo Bello,http://188.165.192.5:8071/;
PE,News,23535,radio-callao.jpg,Radio Callao,http://stream.infomagia.com:8000/;stream.mp3
EC,Latin,14083,radio-callejon-dijital.jpg,Radio Callejon Dijital,http://192.99.16.17:8834/;
RU,Pop,25505,radio-caprice-pop-ballads.jpg,Radio Caprice Pop Ballads,http://79.120.77.11:9061/;stream.mp3
CL,Music,10847,radio-comunicativa-de-ovalle.jpg,Radio Comunicativa de Ovalle,http://ip.audiostreaming.cl:9996/;stream.mp3
BE,Music,8744,radio-contact-wallonie.jpg,Radio Contact Wallonie,http://radio-contact.dh-media.net:7000
PL,Music,24007,radio-eska-rock-ballads.jpg,Radio Eska Rock Ballads,http://waw.ic.smcdn.pl/t030-1.mp3?timestamp=1508160830&hash=8600675b5daad92226d2a556596d15f7
AT,Country,8314,radio-especially.jpg,Radio Especially,http://stream1.radio-especially.at:40250/;stream.mp3
US,70s,4324,radio-exitos-dallas.jpg,Radio Exitos Dallas,http://63.246.55.215:8002/;stream.mp3
US,Music,4333,radio-fouta-djallon.jpg,Radio Fouta Djallon,http://198.178.123.8:8324/;stream.mp3
GN,Music,17721,radio-fouta-djallon-internationale.jpg,Radio FOUTA DJALLON INTERNATIONALE,http://s3.voscast.com:8812/;stream.mp3
ES,Blues,15040,radio-hall.jpg,Radio Hall,http://www.englandproxy.co.uk/listen.radionomy.com/radio-hall?type=.mp3/;stream.mp3
SE,70s,25958,radio-hallefors.jpg,Radio Hallefors,http://www.grythyttan.se:8000/;stream.mp3
NO,Music,23198,radio-hallingdal.jpg,Radio Hallingdal,http://audio.visto.no/radiohallingdal?type=.mp3/;stream.mp3
EG,Retro,14301,radio-handball-italia.jpg,Radio Handball Italia,http://188.165.192.5:8249/1?type=.mp3/;stream.mp3
CH,Dancehall,10453,radio-industrie.jpg,Radio Industrie,http://jam-on.ice.infomaniak.ch/jam-on-128.mp3
PE,Music,23570,radio-la-kalle-96-1-fm.jpg,Radio La Kalle 96.1 FM,http://167.114.118.120:7448
ES,AC,15071,radio-la-vall.jpg,Radio La Vall,http://rlv.serverroom.us:6362/;stream.mp3
CL,Current Affairs,10900,radio-magallanes.jpg,Radio Magallanes,http://stream5.eltelon.com/magallanes.aac
ES,Music,15089,radio-mallorca.jpg,Radio Mallorca,http://playerservices.streamtheworld.com/api/livestream-redirect/SER_MALLORCA.mp3
IT,Hits,20175,radio-movida-gallipoli.jpg,Radio Movida Gallipoli,http://50.22.212.196:8072/;stream.mp3
ES,Top 40,15132,radio-one-mallorca.jpg,Radio One Mallorca,http://69.64.92.79:8276/;stream.mp3
UA,Classic,27316,radio-roks-rock-ballads.jpg,Radio Roks Rock Ballads,http://online-radioroks2.tavrmedia.ua:7000/RadioROKS_Ballads?type=.mp3/;stream.mp3
CH,Rock,10480,radio-rottu-oberwallis.jpg,Radio Rottu Oberwallis,http://radiorottuoberwallis.ice.infomaniak.ch/rro.mp3
BR,Entertainment,9898,radio-shallon-fm.jpg,Radio Shallon FM,http://107.161.124.122:9098/;
